,Valor,Periodo,Isla de alojamiento
34069,430,2019M01,El Hierro
34068,318,2019M02,El Hierro
34067,0,2019M03,El Hierro
34066,474,2019M04,El Hierro
34065,622,2019M05,El Hierro
34064,584,2019M06,El Hierro
34063,817,2019M07,El Hierro
34062,808,2019M08,El Hierro
34061,794,2019M09,El Hierro
34060,586,2019M10,El Hierro
34059,629,2019M11,El Hierro
34058,392,2019M12,El Hierro
34056,392,2020M01,El Hierro
34055,0,2020M02,El Hierro
34054,217,2020M03,El Hierro
34053,..,2020M04,El Hierro
34052,..,2020M05,El Hierro
34051,..,2020M06,El Hierro
34050,0,2020M07,El Hierro
34049,0,2020M08,El Hierro
34048,0,2020M09,El Hierro
34047,0,2020M10,El Hierro
34046,0,2020M11,El Hierro
34045,0,2020M12,El Hierro
34043,0,2021M01,El Hierro
34042,417,2021M02,El Hierro
34041,581,2021M03,El Hierro
34040,410,2021M04,El Hierro
34039,0,2021M05,El Hierro
34038,388,2021M06,El Hierro
34037,0,2021M07,El Hierro
34036,727,2021M08,El Hierro
34035,637,2021M09,El Hierro
34034,0,2021M10,El Hierro
34033,593,2021M11,El Hierro
34032,..,2021M12,El Hierro
34030,402,2022M01,El Hierro
34029,474,2022M02,El Hierro
33898,1619,2019M01,La Palma
33897,1672,2019M02,La Palma
33896,3285,2019M03,La Palma
33895,2963,2019M04,La Palma
33894,2867,2019M05,La Palma
33893,3685,2019M06,La Palma
33892,3391,2019M07,La Palma
33891,4904,2019M08,La Palma
33890,3319,2019M09,La Palma
33889,2250,2019M10,La Palma
33888,2123,2019M11,La Palma
33887,2302,2019M12,La Palma
33885,1452,2020M01,La Palma
33884,2984,2020M02,La Palma
33883,700,2020M03,La Palma
33882,..,2020M04,La Palma
33881,..,2020M05,La Palma
33880,..,2020M06,La Palma
33879,743,2020M07,La Palma
33878,1504,2020M08,La Palma
33877,1102,2020M09,La Palma
33876,895,2020M10,La Palma
33875,716,2020M11,La Palma
33874,735,2020M12,La Palma
33872,470,2021M01,La Palma
33871,461,2021M02,La Palma
33870,571,2021M03,La Palma
33869,615,2021M04,La Palma
33868,815,2021M05,La Palma
33867,1178,2021M06,La Palma
33866,2425,2021M07,La Palma
33865,2564,2021M08,La Palma
33864,1952,2021M09,La Palma
33863,2236,2021M10,La Palma
33862,2263,2021M11,La Palma
33861,2311,2021M12,La Palma
33859,942,2022M01,La Palma
33858,1130,2022M02,La Palma
33727,2652,2019M01,La Gomera
33726,2121,2019M02,La Gomera
33725,2888,2019M03,La Gomera
33724,3775,2019M04,La Gomera
33723,3860,2019M05,La Gomera
33722,4373,2019M06,La Gomera
33721,5963,2019M07,La Gomera
33720,8741,2019M08,La Gomera
33719,4898,2019M09,La Gomera
33718,4024,2019M10,La Gomera
33717,2243,2019M11,La Gomera
33716,2541,2019M12,La Gomera
33714,2131,2020M01,La Gomera
33713,1527,2020M02,La Gomera
33712,767,2020M03,La Gomera
33711,..,2020M04,La Gomera
33710,..,2020M05,La Gomera
33709,..,2020M06,La Gomera
33708,1439,2020M07,La Gomera
33707,5457,2020M08,La Gomera
33706,3443,2020M09,La Gomera
33705,2450,2020M10,La Gomera
33704,1453,2020M11,La Gomera
33703,1579,2020M12,La Gomera
33701,747,2021M01,La Gomera
33700,1724,2021M02,La Gomera
33699,2197,2021M03,La Gomera
33698,1546,2021M04,La Gomera
33697,2787,2021M05,La Gomera
33696,2942,2021M06,La Gomera
33695,5364,2021M07,La Gomera
33694,6559,2021M08,La Gomera
33693,4793,2021M09,La Gomera
33692,3071,2021M10,La Gomera
33691,1590,2021M11,La Gomera
33690,1610,2021M12,La Gomera
33688,1235,2022M01,La Gomera
33687,1939,2022M02,La Gomera
33556,15512,2019M01,Tenerife
33555,15769,2019M02,Tenerife
33554,19871,2019M03,Tenerife
33553,23782,2019M04,Tenerife
33552,32160,2019M05,Tenerife
33551,34728,2019M06,Tenerife
33550,39198,2019M07,Tenerife
33549,45962,2019M08,Tenerife
33548,29833,2019M09,Tenerife
33547,29207,2019M10,Tenerife
33546,19809,2019M11,Tenerife
33545,23813,2019M12,Tenerife
33543,16482,2020M01,Tenerife
33542,20849,2020M02,Tenerife
33541,7222,2020M03,Tenerife
33540,..,2020M04,Tenerife
33539,..,2020M05,Tenerife
33538,..,2020M06,Tenerife
33537,15562,2020M07,Tenerife
33536,30459,2020M08,Tenerife
33535,22974,2020M09,Tenerife
33534,20581,2020M10,Tenerife
33533,10761,2020M11,Tenerife
33532,11407,2020M12,Tenerife
33530,12665,2021M01,Tenerife
33529,16226,2021M02,Tenerife
33528,21777,2021M03,Tenerife
33527,24433,2021M04,Tenerife
33526,33418,2021M05,Tenerife
33525,34111,2021M06,Tenerife
33524,39061,2021M07,Tenerife
33523,41036,2021M08,Tenerife
33522,37842,2021M09,Tenerife
33521,33399,2021M10,Tenerife
33520,22058,2021M11,Tenerife
33519,23554,2021M12,Tenerife
33517,16314,2022M01,Tenerife
33516,21973,2022M02,Tenerife
33385,12130,2019M01,Gran Canaria
33384,11432,2019M02,Gran Canaria
33383,15312,2019M03,Gran Canaria
33382,31728,2019M04,Gran Canaria
33381,34806,2019M05,Gran Canaria
33380,42622,2019M06,Gran Canaria
33379,40830,2019M07,Gran Canaria
33378,49837,2019M08,Gran Canaria
33377,29138,2019M09,Gran Canaria
33376,23261,2019M10,Gran Canaria
33375,16782,2019M11,Gran Canaria
33374,16589,2019M12,Gran Canaria
33372,13409,2020M01,Gran Canaria
33371,15617,2020M02,Gran Canaria
33370,6259,2020M03,Gran Canaria
33369,..,2020M04,Gran Canaria
33368,..,2020M05,Gran Canaria
33367,..,2020M06,Gran Canaria
33366,30080,2020M07,Gran Canaria
33365,48293,2020M08,Gran Canaria
33364,34221,2020M09,Gran Canaria
33363,29286,2020M10,Gran Canaria
33362,16239,2020M11,Gran Canaria
33361,20934,2020M12,Gran Canaria
33359,11948,2021M01,Gran Canaria
33358,14829,2021M02,Gran Canaria
33357,16960,2021M03,Gran Canaria
33356,22743,2021M04,Gran Canaria
33355,43583,2021M05,Gran Canaria
33354,49450,2021M06,Gran Canaria
33353,62479,2021M07,Gran Canaria
33352,57526,2021M08,Gran Canaria
33351,45547,2021M09,Gran Canaria
33350,31086,2021M10,Gran Canaria
33349,14200,2021M11,Gran Canaria
33348,17474,2021M12,Gran Canaria
33346,12828,2022M01,Gran Canaria
33345,17363,2022M02,Gran Canaria
33214,2564,2019M01,Fuerteventura
33213,2710,2019M02,Fuerteventura
33212,4530,2019M03,Fuerteventura
33211,8075,2019M04,Fuerteventura
33210,7773,2019M05,Fuerteventura
33209,10204,2019M06,Fuerteventura
33208,12152,2019M07,Fuerteventura
33207,15401,2019M08,Fuerteventura
33206,10283,2019M09,Fuerteventura
33205,6651,2019M10,Fuerteventura
33204,5306,2019M11,Fuerteventura
33203,4144,2019M12,Fuerteventura
33201,2830,2020M01,Fuerteventura
33200,4054,2020M02,Fuerteventura
33199,702,2020M03,Fuerteventura
33198,..,2020M04,Fuerteventura
33197,..,2020M05,Fuerteventura
33196,..,2020M06,Fuerteventura
33195,3693,2020M07,Fuerteventura
33194,10602,2020M08,Fuerteventura
33193,8164,2020M09,Fuerteventura
33192,5870,2020M10,Fuerteventura
33191,2048,2020M11,Fuerteventura
33190,2266,2020M12,Fuerteventura
33188,1388,2021M01,Fuerteventura
33187,1151,2021M02,Fuerteventura
33186,2180,2021M03,Fuerteventura
33185,2782,2021M04,Fuerteventura
33184,4957,2021M05,Fuerteventura
33183,6026,2021M06,Fuerteventura
33182,14440,2021M07,Fuerteventura
33181,21778,2021M08,Fuerteventura
33180,13874,2021M09,Fuerteventura
33179,10234,2021M10,Fuerteventura
33178,3639,2021M11,Fuerteventura
33177,5973,2021M12,Fuerteventura
33175,3559,2022M01,Fuerteventura
33174,4539,2022M02,Fuerteventura
33043,3986,2019M01,Lanzarote
33042,3800,2019M02,Lanzarote
33041,3847,2019M03,Lanzarote
33040,4903,2019M04,Lanzarote
33039,4875,2019M05,Lanzarote
33038,5226,2019M06,Lanzarote
33037,6054,2019M07,Lanzarote
33036,6183,2019M08,Lanzarote
33035,6457,2019M09,Lanzarote
33034,4835,2019M10,Lanzarote
33033,4542,2019M11,Lanzarote
33032,4017,2019M12,Lanzarote
33030,3318,2020M01,Lanzarote
33029,4108,2020M02,Lanzarote
33028,976,2020M03,Lanzarote
33027,..,2020M04,Lanzarote
33026,..,2020M05,Lanzarote
33025,..,2020M06,Lanzarote
33024,1757,2020M07,Lanzarote
33023,6699,2020M08,Lanzarote
33022,4060,2020M09,Lanzarote
33021,2431,2020M10,Lanzarote
33020,1890,2020M11,Lanzarote
33019,1753,2020M12,Lanzarote
33017,1821,2021M01,Lanzarote
33016,939,2021M02,Lanzarote
33015,1296,2021M03,Lanzarote
33014,2391,2021M04,Lanzarote
33013,2538,2021M05,Lanzarote
33012,2681,2021M06,Lanzarote
33011,8328,2021M07,Lanzarote
33010,10030,2021M08,Lanzarote
33009,7031,2021M09,Lanzarote
33008,5310,2021M10,Lanzarote
33007,4081,2021M11,Lanzarote
33006,4530,2021M12,Lanzarote
33004,4033,2022M01,Lanzarote
33003,4486,2022M02,Lanzarote
